Index,X,Y,Z
63007,-189.67114,-120.88596,-414.62499
63008,-601.88692,-383.65035,-537.73953
63009,-307.9118,-196.31307,-381.72001
63010,-1339.02839,-853.72672,-233.69901
63011,-1132.31382,-722.23553,149.63549
63012,-534.27125,-340.78592,317.32623
63013,-763.81041,-487.29084,2343.526
63014,-2533.26873,-1616.26435,959.98634
63015,-3258.24357,-2079.37031,-3990.52257
63016,-374.96416,-239.33908,571.36532
63017,-1001.87493,-639.52934,-564.40194
63018,-2485.9451,-1587.03936,-3767.57639
63019,-925.18716,-590.64273,-649.68888
63020,-565.60303,-361.09222,235.72254
63021,-1582.04651,-1010.199,-3587.15083
63022,-445.32919,-284.42592,-698.25424
63023,-1065.44326,-680.47544,-6.60596
63024,-287.22566,-183.50062,-340.71641
63025,-1463.78659,-935.50704,-440.26306
63026,-1699.0746,-1085.8998,1435.55556
63027,-283.80056,-181.43199,-336.5956
63028,-1735.61836,-1109.86912,-1193.62969
63029,-285.53661,-182.60634,158.70824
63030,-624.16587,-399.28597,611.36639
63031,-700.23271,-447.96123,-421.38524
63032,-361.38392,-231.22332,224.59988
63033,-1434.05499,-917.55722,1148.03193
63034,-1374.02205,-879.15719,-404.72755
63035,-2420.65317,-1549.1998,738.66516
63036,-3142.58197,-2011.2448,326.31253
63037,-575.67074,-368.43251,-380.95234
63038,-3856.00312,-2467.89118,-526.43694
63039,-436.05178,-279.09071,404.54375
63040,-1307.93131,-837.15367,4122.50338
63041,-127.27438,-81.46494,481.91411
63042,-2687.00332,-1720.44531,-304.83854
63043,-708.50937,-453.6859,-1944.43718
63044,-730.18224,-467.6684,83.0695
63045,-643.0445,-411.88571,585.81643
63046,-2487.25603,-1593.16119,-959.21206
63047,-3722.58178,-2384.61891,1223.91097
63048,-363.48044,-232.85183,-233.80009
63049,-1634.48245,-1047.19652,2982.6712
63050,-1434.6683,-919.27522,643.81699
63051,-839.46384,-537.91053,1165.46867
63052,-2202.93453,-1412.23446,3519.85259
63053,-326.09535,-209.12387,-426.76722
63054,-1250.64019,-802.04641,1297.27836
63055,-1237.57955,-793.70177,-1451.64378
63056,-2790.92134,-1790.02903,-2754.20191
63057,-2656.72297,-1704.29296,926.20071
63058,-2097.92251,-1345.84547,681.43983
63059,-3283.60533,-2106.9734,396.61388
63060,-1382.60706,-887.42149,-1238.81074
63061,-297.77139,-191.12829,-878.38167
63062,-870.15347,-558.60654,14.43106
63063,-1597.91663,-1025.98432,2556.64145
63064,-4642.1726,-2980.99869,296.61502
63065,-882.77443,-566.94073,2892.53222
63066,-1140.65691,-732.57993,-396.47028
63067,-811.18615,-521.0931,433.42978
63068,-2153.84743,-1383.5979,-1604.34827
63069,-3212.44874,-2063.73604,-3112.50809
63070,-3171.61664,-2037.5118,-1023.8079
63071,-5518.53532,-3545.34079,5940.62315
63072,-382.44903,-245.72626,874.0792
63073,-3213.9803,-2065.20828,-6676.58953
63074,-1195.03598,-767.935,-4428.9369
63075,-1005.07196,-645.93449,-1361.78993
63076,-2501.39915,-1607.59013,-1406.87435
63077,-599.09053,-385.07901,54.85608
63078,-490.76022,-315.45428,158.67612
63079,-640.08196,-411.52043,-79.62959
63080,-519.87939,-334.25119,384.31408
63081,-1200.64889,-771.97169,494.30331
63082,-120.64354,-77.56904,-87.17291
63083,-2340.10455,-1504.65877,-3568.54522
63084,-1741.69322,-1119.95915,-1117.3753
63085,-873.24335,-561.52199,-1109.86505
63086,-5638.80728,-3626.12648,-313.16114
63087,-2588.11995,-1664.55237,-1068.21698
63088,-896.97701,-576.91896,-782.4749
63089,-780.68666,-502.17878,740.84586
63090,-1782.49514,-1146.60866,3732.01462
63091,-600.27419,-386.19323,1167.01311
63092,-1013.84053,-652.27426,-1715.14127
63093,-2026.49517,-1303.78507,-2723.34444
63094,-202.56754,-130.33497,-651.84534
63095,-410.14724,-263.91963,-556.77777
63096,-881.59009,-567.30995,-1522.38237
63097,-630.15099,-405.60043,129.19498
63098,-807.97267,-520.11156,-1116.0952
63099,-72.44425,-46.63956,288.05141
63100,-989.98257,-637.54659,870.1394
63101,-2927.07128,-1885.08094,-737.02407
63102,-2974.54923,-1916.05575,-2754.95528
63103,-2736.11822,-1762.47649,-770.00428
63104,-1303.48321,-839.9804,618.40475
63105,-1186.36169,-764.57316,54.12493
63106,-219.47968,-141.45953,244.40593
63107,-178.79,-115.24725,-748.57398
63108,-2591.2369,-1670.38372,-838.22367
63109,-2131.68791,-1374.26822,-776.63111
63110,-1272.65246,-820.49605,365.18407
63111,-786.7398,-507.27197,591.68431
63112,-2163.71915,-1395.21882,-1083.59883
63113,-977.76491,-630.51483,486.44997
63114,-1944.11754,-1253.70953,-1012.68066
63115,-1770.279,-1141.6362,-3615.17087
63116,-1500.25365,-967.66989,1040.04292
63117,-291.64102,-188.1069,484.90761
63118,-2896.52674,-1868.63231,94.62292
63119,-4860.39696,-3135.92541,-1069.85513
63120,-1571.71226,-1014.08951,-1070.56497
63121,-662.61269,-427.56845,-1110.97163
63122,-630.20673,-406.69323,-43.75301
63123,-2561.05726,-1652.86587,-1509.39617
63124,-737.85166,-476.21329,-1343.59868
63125,-1227.25525,-792.31867,-2197.24236
63126,-4085.11812,-2637.39815,-5809.30721
63127,-361.11221,-233.1746,249.01607
63128,-1913.18978,-1235.62983,8237.97831
63129,-1271.44736,-821.19208,1989.73998
63130,-1066.77377,-689.37055,-1483.73152
63131,-972.57026,-628.51636,-728.33247
63132,-1273.95477,-823.3294,-284.01593
63133,-1601.07821,-1034.98639,762.72802
63134,-373.14134,-241.21136,10.56711
63135,-7605.44521,-4916.63694,792.78677
63136,-2834.09379,-1832.25273,4038.7615
63137,-3599.8211,-2327.37666,-4548.30802
63138,-861.82454,-557.32987,546.55722
63139,-319.52659,-206.6544,187.20937
63140,-5527.94168,-3575.27141,-3632.02469
63141,-510.33339,-330.10063,432.06456
63142,-1666.26647,-1077.98433,-933.10016
63143,-1236.20604,-799.87634,1341.70933
63144,-1108.27779,-717.53413,-1357.89177
63145,-1964.73899,-1272.19143,-240.1271
63146,-663.95397,-430.01295,1396.6802
63147,-1346.30369,-872.30073,-1154.23577
63148,-1165.08716,-754.91321,-478.49941
63149,-191.52715,-124.10552,-51.06265
63150,-2444.81013,-1584.64417,-5485.4866
63151,-463.19102,-300.23374,91.9923
63152,-944.70897,-612.44716,-647.34667
63153,-1369.76471,-888.43325,-175.25188
63154,-746.87339,-484.4896,-287.27018
63155,-3071.37603,-1993.0987,-643.27671
63156,-1274.40427,-827.14239,468.26569
63157,-1675.29033,-1087.35976,275.36742
63158,-1352.80291,-878.14559,1298.1946
63159,-932.86986,-605.71863,-1321.28288
63160,-3448.97446,-2239.47102,1411.71372
63161,-2715.26729,-1763.12787,-2540.43081
63162,-1069.22355,-694.50381,-3536.59424
63163,-2332.58574,-1515.38539,-2383.32733
63164,-386.58394,-251.21085,1228.6848
63165,-590.4405,-383.84648,-856.23599
63166,-2103.17851,-1367.45433,-1101.27533
63167,-1773.31074,-1153.19786,1623.76617
63168,-2057.97812,-1338.48988,947.82854
63169,-1185.6663,-771.17661,1292.06154
63170,-824.94484,-536.5719,-4293.96103
63171,-2874.60449,-1869.79563,-4449.96518
63172,-975.73124,-634.68244,-1743.60851
63173,-1361.85395,-885.90812,612.04692
63174,-1113.91579,-724.76197,478.40084
63175,-2340.47486,-1523.14445,3970.78163
63176,-2180.67037,-1419.22115,-6707.28329
63177,-1157.88399,-753.69102,1343.03514
63178,-662.94802,-431.60756,33.28595
63179,-755.68595,-492.08634,133.2757
63180,-498.04537,-324.36863,122.21778
63181,-699.4166,-455.69093,-694.31385
63182,-3618.62251,-2358.09141,291.97893
63183,-1880.4957,-1225.52376,-3051.20546
63184,-978.07609,-637.54684,-976.52358
63185,-2084.14678,-1358.61868,-3955.55987
63186,-2725.17025,-1776.57547,-7308.70896
63187,-1306.67463,-851.88721,-706.37353
63188,-127.85027,-83.38495,370.07673
63189,-967.80006,-631.26994,633.03093
63190,-879.39386,-573.93261,-54.52166
63191,-563.82355,-368.10518,-117.51908
63192,-2518.26704,-1644.21171,-2138.05332
63193,-1003.34101,-655.34138,1206.70914
63194,-279.17176,-182.3677,-987.99746
63195,-1307.6805,-854.31756,643.01841
63196,-1076.12585,-703.18045,1485.69477
63197,-4021.75304,-2629.0616,-165.65012
63198,-254.99667,-166.69468,134.45663
63199,-689.41195,-450.70987,230.93992
63200,-416.66129,-272.47331,-806.59997
63201,-184.22924,-120.50342,-12.7706
63202,-496.26095,-324.64225,-305.56962
63203,-1619.55375,-1059.48956,4135.79512
63204,-1433.63995,-937.99956,241.02526
63205,-2287.60142,-1496.74436,534.53708
63206,-1877.83797,-1229.29917,-5150.16747
63207,-3331.32949,-2180.90583,818.81128
63208,-264.63205,-173.27836,-2127.1479
63209,-1177.93833,-771.3986,-424.3048
63210,-1645.196,-1077.41694,341.39532
63211,-1645.25438,-1077.47347,1372.21946
63212,-643.06477,-421.19366,-139.33635
63213,-490.41671,-321.26486,707.85467
63214,-1683.22536,-1102.71331,-1738.99672
63215,-823.17088,-539.36278,570.7352
63216,-940.73911,-616.41248,1374.74669
63217,-1553.34031,-1017.82591,-885.96588
63218,-1069.26662,-700.78889,915.30106
63219,-1642.48494,-1076.5954,2863.47886
63220,-2731.79222,-1790.65796,284.00156
63221,-1089.98028,-714.5264,370.75322
63222,-3067.49388,-2010.89195,2719.75526
63223,-477.21517,-312.84059,350.73889
63224,-841.18884,-551.56606,-610.13133
63225,-182.00388,-119.33962,314.61067
63226,-481.22108,-315.59123,-397.30384
63227,-475.27891,-311.70014,1173.37031
63228,-717.84043,-470.90018,-1879.30664
63229,-265.27562,-174.03352,528.62254
63230,-1346.28325,-883.74416,1502.71549
63231,-959.92942,-630.2725,-1371.67324
63232,-4119.58246,-2705.1059,-1215.9847
63233,-665.33699,-436.9522,-1631.01077
63234,-800.08846,-525.46694,-3216.28652
63235,-6939.65665,-4558.04464,5213.66294
63236,-53.53243,-35.16911,-97.66517
63237,-918.83182,-603.62341,-307.4575
63238,-1338.9501,-879.6612,-2705.96704
63239,-128.27645,-84.27989,-581.03131
63240,-1214.98358,-798.25394,-728.37538
63241,-735.32521,-483.15397,-583.88634
63242,-3163.363,-2078.63886,-3656.94232
63243,-3524.03912,-2316.34292,2211.66069
63244,-3236.00086,-2127.14053,-5265.18607
63245,-1616.53422,-1062.75623,-294.97099
63246,-1927.32869,-1267.10249,-567.35462
63247,-1585.41169,-1042.33708,-1204.10573
63248,-1940.1005,-1275.75262,-344.72681
63249,-2288.79126,-1505.28089,811.6835
63250,-1493.81486,-982.45767,270.7547
63251,-753.16589,-495.37655,1868.60313
63252,-1243.82777,-818.34095,2885.241
63253,-3062.92752,-2015.24383,-3074.16918
63254,-152.33763,-100.23235,-1264.0533
63255,-1160.8124,-763.83719,1394.30101
63256,-937.31216,-616.86513,-743.20702
63257,-1916.15243,-1261.1179,216.87534
63258,-1214.05048,-799.20004,644.13061
63259,-2129.48653,-1401.98742,805.54876
63260,-625.32551,-411.69632,-2321.27384
63261,-814.36367,-536.20585,217.48124
63262,-239.95187,-158.01412,364.94315
63263,-2338.35964,-1539.98773,812.63299
63264,-258.79926,-170.45792,393.66041
63265,-757.08857,-498.69587,-951.24813
63266,-160.51261,-105.7581,-23.46214
63267,-2266.69718,-1493.97311,-623.87665
63268,-97.27639,-64.12009,-1219.9392
63269,-204.75027,-135.02629,355.13061
63270,-708.19151,-467.14752,-878.11242
63271,-1676.69406,-1106.16722,927.22805
63272,-1524.35157,-1005.73313,-2572.20286
63273,-1491.20969,-983.88725,2229.69183
63274,-495.58618,-327.02662,-8.76224
63275,-931.93832,-614.96463,1821.81738
63276,-495.93305,-327.29512,-496.91311
63277,-1403.66963,-926.36751,-2839.67127
63278,-3491.83034,-2304.5857,51.94694
63279,-991.96928,-654.7036,89.29638
63280,-1749.62987,-1154.87652,9.97139
63281,-1819.19101,-1200.86204,-456.90818
63282,-1587.8691,-1048.17362,-2077.24217
